text	url
2019 B.R.A.G. Medallion Honoree Not once, but twice in his minority, young King Richard II struggled to save his crown. His enemies unwittingly laid the foundation for their own destruction in  A KING UNDER SIEGE by Mercedes Rochelle https://t.co/6E4Kv18raT #KU @authorRochelle https://t.co/ZD5eJhjyah	https://twitter.com/i/web/status/1468689350808453125
Venus and Serena, as producers, know exactly what they want to say with KING RICHARD. The stories they choose to tell. How they're told. Those they choose to leave out. We, outsiders, can't even comprehend what it must've been like. I'm so very thankful for this story.	https://twitter.com/i/web/status/1468688733520252932
King Richard was a good movie.	https://twitter.com/i/web/status/1468688502317588486
Just saw #TickTickBoom and it totally deserves to be on the #AFI Top 10 list for 2021. CODA  Don’t Look Up Dune King Richard Licorice Pizza Nightmare Alley The Power of the Dog Tick, Tick… Boom! The Tragedy of Macbeth West Side Story	https://twitter.com/i/web/status/1468688476476424193
The #AmericanFilmInstitute (#AFI) has announced their list of the Top 10 #BestFilmsOf2021.  CODA DON'T LOOK UP DUNE KING RICHARD LICORICE PIZZA NIGHTMARE ALLEY THE POWER OF THE DOG tick, tick... BOOM! THE TRAGEDY OF MACBETH WEST SIDE STORY Special Awards: BELFAST &amp; SUMMER OF SOUL https://t.co/pHnM1s2ihd	https://twitter.com/i/web/status/1468688470797426691
Will Smith tried his best not to coast on his charisma in KING RICHARD but his voice and the constant sour face were distracting. Jon Bernthal surprised me and Aunjanue Ellis stole her scenes. Even when she was just casually reacting I could see so many emotions in her eyes.	https://twitter.com/i/web/status/1468687318303358978
KING RICHARD is just nice. Manipulative, overlong, predictable and it looks like a TV movie from the 90s, but the story is really captivating. I wish at least Venus was better developed as a character, it's all about her insufferable dad. The Beyoncé song is incredible.	https://twitter.com/i/web/status/1468687028334309386
El American Film Institute publicó su lista de 10 mejores películas estadounidenses de 2021: CODA, Don’t Look Up, Dune, King Richard, Licorice Pizza, Nightmare Alley, The Power of the Dog, Tick, Tick … Boom!, The Tragedy of Macbeth y West Side Story. https://t.co/ZWQE0pzFUC	https://twitter.com/i/web/status/1468686600280367108
CODA, King Richard, tick, tick… BOOM!, Reservation Dogs, Succession, Ted Lasso, The Underground Railroad y Summer of Soul ❤️❤️❤️ https://t.co/wQf9GcOufj	https://twitter.com/i/web/status/1468686488556744707
Inhaled movies this year so this isn’t easy  1. Free Guy 2. King Richard 3. Last Duel 4. Shang-Chi 5. Dune 6. Bad Trip 7. The Suicide Squad 8. Raya and the Last Dragon  9. Bo Burnham’s Inside  10. Nobody  Expecting Nightmare Alley and No Way Home to break into the list as well https://t.co/OFhFInOhuW	https://twitter.com/i/web/status/1468685900733423617
Check out this interview on @ProVideo from @WoodyWoodhall with award-winning dialog editor, David Bach (#Dune, #KingRichard ), who shared insights about the tools he uses and his work. #izotope #audio #SuicideSquad #sound #LAPPG https://t.co/lsLzJBHTSH	https://twitter.com/i/web/status/1468685822454992897
i still need to watch •the power of the dog •licorice pizza •house of gucci •spiderman nwh •the matrix 4 •west side story •king richard •belfast •the humans •the worst person in the world •the king's man •nightmare alley •red rocket https://t.co/2N1LON7T6f	https://twitter.com/i/web/status/1468685777370587147
King Richard is FANTASTIC	https://twitter.com/i/web/status/1468685739374350344
The year isn't over but for me at this point, it's #KingRichard https://t.co/7bqLW0P6uh	https://twitter.com/i/web/status/1468685110300090368
Question: How the hell was King Richard able to plan his daughters success to a tee? https://t.co/3XAMszlXQF	https://twitter.com/i/web/status/1468684806531731465
I can’t recall another time ive seen this many young, Black girls with brown/dark skin on a movie screen at one time… in my entire life? #KingRichard	https://twitter.com/i/web/status/1468684216300933132
👏🏾👏🏾👏🏾🔥🔥🔥🔥African American Film Critics Top 10 Films Led By 'The Harder They Fall', 'Respect', 'King Richard' https://t.co/MjsjhhfLwv	https://twitter.com/i/web/status/1468683267515707394
.@theaafca (African American Critics Association) publicó su lista de las mejores películas del 2021  1. The Harder They Fall 2. King Richard  3. Respect  4. The Tragedy of Macbeth  5. Passing  6. Belfast  7. Who We Are  8. House of Gucci 9.The Power of the Dog 10.West Side Story https://t.co/UVqN0xihIF	https://twitter.com/i/web/status/1468683077601804288
I rated King Richard (2021) 8/10  #IMDb https://t.co/0ytOHS6jYB	https://twitter.com/i/web/status/1468682910509191176
Seen King Richard last night and I’ll say it’s been a long time since a movie brought me to tears😭 Highly recommend	https://twitter.com/i/web/status/1468682894193295362
King Richard 🎥	https://twitter.com/i/web/status/1468682407658225669
King Richard is a 10/10 film and proper motivating	https://twitter.com/i/web/status/1468681222012481547
Big News! African American Film Critics @theaafca Name Top 10 Films, Including ‘The Harder They Fall’, ‘Respect’, ‘King Richard’ and . . . ?https://t.co/WnYGhsz9Yz via @Deadline	https://twitter.com/i/web/status/1468679345472360449
Stuck in a conversation with my 83 year old father who went to see #KingRichard and was shocked when it wasn't about Richard III.	https://twitter.com/i/web/status/1468678150032957450
"Oscar contenders ""King Richard, West Side Story"", ""Dune ""hit big on AFI Awards winners list https://t.co/0f7r6VQQSY"	https://twitter.com/i/web/status/1468677820041687045
'King Richard,' 'West Side Story,' and 'Dune' just made huge strides in the Oscars race at the AFI Awards.  https://t.co/DwJupMqbNN	https://twitter.com/i/web/status/1468676788859682823
Yeah King Richard was amazing.	https://twitter.com/i/web/status/1468676710921121805
2021 @AFI Top 10 Films  Coda Don’t Look Up Dune King Richard Licorice Pizza Nightmare Alley The Power of the Dog tick, tick … Boom! The Tragedy of Macbeth West Side Story  Special Awards: Belfast, Summer of Soul  AFI has honored 5+ Best Picture noms per year since BP expanded.	https://twitter.com/i/web/status/1468676639802335238
El American Film Institute nombra las 10 mejores películas estadounidenses del año:  - Coda - Dune - King Richard - Licorice pizza - Don’t look up - West Side Story - Nightmare Alley - Tick, tick… Boom! - The power of the dog - The tragedy of Macbeth https://t.co/SuW1ehcrrJ	https://twitter.com/i/web/status/1468675856340070410
